the_geom,offering,region,province,municipality,division,district,enrollment_sy_2014_2015,school_name,mooe_in_php_for_fy_2015,latitude,longitude,school_id,cartodb_id,created_at,updated_at
,ES,CAR,Abra,Bucay,Abra,Bucay,188,Bucay North ES,134000,,,134990,36627,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Abra,Dolores,Abra,Dolores,119,Libtec ES,102000,,,218501,37988,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Abra,Licuan-Baay (Licuan),Abra,Baay-Licuan,11,Agat PS,50000,,,218502,37989,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Abra,Lagangilang,Abra,Lagangilang,13,Willy Castillo PS,56000,,,218503,37990,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Abra,Malibcong,Abra,Malibcong,24,Gacab PS,54000,,,218508,37995,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Abra,Malibcong,Abra,Malibcong,17,Lat-ey PS,53000,,,218509,37996,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Abra,Pilar,Abra,Pilar,44,South Balioag PS,57000,,,218516,38002,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Abra,Dolores,Abra,Dolores,47,Lourdes Zapata PS,66000,,,218521,38006,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Abra,Daguioman,Abra,Bangued East,195,Capitan NHS,282000,,,305080,46088,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Abra,Lagangilang,Abra,Lagangilang,164,Cayapa NHS,283000,,,305081,46089,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Abra,Tineg,Abra,Tineg,200,Tineg NHS,260000,,,305104,46112,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CARAGA,Agusan Del Norte,Kitcharao,Agusan del Norte,Kitcharao,268,P.C. Reyes ES,150000,,,131452,32849,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CARAGA,Agusan Del Norte,Kitcharao,Agusan del Norte,Kitcharao,409,San Roque ES,198000,,,131454,32851,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,Region VI,Aklan,Makato,Aklan,Makato,66,Baybay-Alibagon Integrated School,,,,310627,42444,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,Region VI,Aklan,Batan,Aklan,Batan,50,Palay Integrated School,,,,310628,42445,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,Region VI,Aklan,Madalag,Aklan,Madalag,29,Ma. Cristina Integrated School,,,,310629,42446,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,Region VI,Aklan,Batan,Aklan,Batan,36,Ipil Integrated School,,,,310630,42447,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region V,Albay,Tiwi,Albay,Tiwi,393,Sugod ES,220000,,,112080,12642,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VI,Antique,Anini-Y,Antique,Anini-y,321,Magdalena ES,202000,,,114946,15620,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VI,Antique,Caluya,Antique,Caluya,182,Lim ES,118000,,,115014,15688,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VI,Antique,Pandan,Antique,Pandan,106,Ciriaco Tayco MS,103000,,,115149,15819,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VI,Antique,Caluya,Antique,Caluya,296,Panagatan ES,153000,,,178502,18581,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Apayao,Conner,Apayao,Northern Conner,30,Liwan Elementary School,61000,,,219007,38012,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Apayao,Conner,Apayao,Northern Conner,10,Bubog PS,58000,,,219016,38020,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Apayao,Conner,Apayao,Northern Conner,81,Upper Katablangan ES,87000,,,219017,38021,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Apayao,Conner,Apayao,Northern Conner,47,Mabaguio PS,59000,,,219018,38022,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Apayao,Conner,Apayao,Southern Conner,64,Mabiga Elementary School,67000,,,219020,38023,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Apayao,Kabugao (Capital),Apayao,Kabugao,24,Iyapan PS,46000,,,220023,38079,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Apayao,Kabugao (Capital),Apayao,Kabugao,34,Kagawadan PS,45000,,,220024,38080,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Apayao,Kabugao (Capital),Apayao,Kabugao,22,Paco Valley PS,43000,,,220025,38081,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Apayao,Conner,Apayao,Calanasan,465,Conner Central NHS Main,720000,,,305111,46119,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Apayao,Luna,Apayao,Luna,414,Luna National High School Main,479000,,,305116,46124,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Apayao,Kabugao (Capital),Apayao,Kabugao,200,Mayor Bartolome Serut NATHS-Main,329000,,,305119,46127,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Apayao,Pudtol,Apayao,Pudtol,448,Pudtol NHS,494000,,,305123,46131,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Apayao,Conner,Apayao,Calanasan,248,Conner Central NHS Talifugo Annex,329000,,,318802,46295,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Apayao,Conner,Apayao,Calanasan,173,Conner Central NHS Cupis Annex,204000,,,318803,46296,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Apayao,Kabugao (Capital),Apayao,Kabugao,228,Kabugao Agro-Ind'l. HS - Lenneng Annex,234000,,,318806,46299,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Apayao,Conner,Apayao,Calanasan,107,Conner Central NHS Guina-ang Annex III,144000,,,318807,46300,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Apayao,Calanasan (Bayag),Apayao,Calanasan,112,PIO DALIM Memorial SAT-Sta.Filomena,144000,,,318811,46304,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Apayao,Conner,Apayao,Northern Conner,214,Conner Central NHS Ili Annex,178000,,,318812,46305,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Apayao,Pudtol,Apayao,Calanasan,65,Mataguisi Comprehensive NHS Cacalaggan Annex,144000,,,319009,46332,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Apayao,Kabugao (Capital),Apayao,Kabugao,59,Mayor Bartolome Serut NATHS Annex,144000,,,319010,46333,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region III,Aurora,Dilasag,Aurora,Dilasag,694,Dilasag CS,352000,,,104435,4622,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,Region III,Aurora,Maria Aurora,Aurora,Ma. Aurora,99,Dianawan NHS,175000,,,306506,39966,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,ARMM,Basilan,City of Lamitan,Lamitan City,Lamitan South,164,Boheyakan ES,,,,132995,34457,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,ARMM,Basilan,Lantawan,Basilan,Lantawan,158,Baungis PS,,,,133026,34485,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,ARMM,Basilan,Lantawan,Basilan,Lantawan,48,Lantawan Proper PS,,,,133034,34492,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,ARMM,Basilan,Maluso,Basilan,Maluso West,474,Laud ES,,,,133063,34516,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,ARMM,Basilan,Lantawan,Basilan,Pilas,211,Dasalan ES,,,,133070,34522,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,ARMM,Basilan,Lantawan,Basilan,Pilas,257,Palahangan ES,,,,133075,34527,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,ARMM,Basilan,Sumisip,Basilan,Sumisip East,191,Marang ES,,,,133124,34567,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,ARMM,Basilan,Sumisip,Basilan,Sumisip East,202,Daingdingan ES,,,,133130,34572,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,ARMM,Basilan,Tipo-Tipo,Basilan,Tipo-Tipo East,368,Kaulungan Primary School,,,,133148,34587,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,ARMM,Basilan,Tipo-Tipo,Basilan,Tipo-Tipo West,320,Kuhon Lennuh ES,,,,133168,34603,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,ARMM,Basilan,Tuburan,Basilan,Tuburan,122,Jose Abad Santos PS,,,,133191,34620,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,ARMM,Basilan,Tuburan,Basilan,Tuburan,63,Mataggan ES,,,,133201,34627,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,ARMM,Basilan,Sumisip,Basilan,Sumisip East,157,Ismael Memorial PS,,,,215012,36241,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,ARMM,Basilan,Hadji Muhtamad,Basilan,Pilas,162,Kainahan PS,,,,215016,36244,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,ARMM,Basilan,Tuburan,Basilan,Lantawan,113,Sinulatan NHS - Butun Annex,,,,318003,45911,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,ARMM,Basilan,Akbar,Basilan,Tuburan,182,Upper Bato-Bato National High School,,,,318004,45912,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,Region III,Bataan,Orion,Bataan,Orion,1480,Bataan School of Fisheries,1946000,,,300703,39598,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,Region III,Bataan,Mariveles,Bataan,Mariveles,3930,"Mariveles NHS,Poblacion",3290000,,,300711,39606,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,Region III,Bataan,Dinalupihan,Bataan,Dinalupihan West,114,Roosevelt National High School,,,,306612,39986,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,Region III,Bataan,Hermosa,Bataan,Hermosa,93,Hermosa National High School-Annex,,,,306613,39987,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,Region III,Bataan,Morong,Bataan,Morong,12,Kanawan Integrated School,,,,306614,39988,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,Region III,Bataan,Mariveles,Bataan,Mariveles,187,Mariveles NHS Annex - Sisiman,,,,306615,39989,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,Region III,Bataan,Limay,Bataan,Limay,406,St. Francis National High School,,,,306616,39990,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region II,Batanes,Basco (Capital),Batanes,Basco,57,Chanarian Barrio School,115000,,,102312,2397,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region II,Batanes,Sabtang,Batanes,Sabtang,121,Sabtang Elementary School,186000,,,102328,2413,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region IV-A,Batangas,Agoncillo,Batangas,Agoncillo,504,Banyaga ES,268000,,,107205,7589,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region IV-A,Batangas,Bauan,Batangas,Bauan,58,Pitugo ES,81000,,,107275,7657,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region IV-A,Batangas,Calaca,Batangas,Calaca,36,Puting Kahoy School,53000,,,107305,7687,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region IV-A,Batangas,Lian,Batangas,Lian,176,Tanag ES,132000,,,107425,7805,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region IV-A,Batangas,Lobo,Batangas,Lobo,133,Punas Elementary School,113000,,,107444,7824,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region IV-A,Batangas,Mabini,Batangas,Mabini,85,Panay ES,84000,,,107460,7840,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region IV-A,Batangas,Mataasnakahoy,Batangas,Mataas Na Kahoy,186,PAARALANG ELEMENTARYA NG LOOB,119000,,,107484,7864,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region IV-A,Batangas,Rosario,Batangas,Rosario West,228,Mavalor Elementary School,137000,,,107562,7942,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region IV-A,Batangas,Rosario,Batangas,Rosario West,415,Mayuro Elementary School,204000,,,107563,7943,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region IV-A,Batangas,San Nicolas,Batangas,San Nicolas,975,San Nicolas CS,404000,,,107666,8046,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region IV-A,Batangas,Talisay,Batangas,Talisay,328,Balas ES,165000,,,107737,8117,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region IV-A,Batangas,Talisay,Batangas,Talisay,493,Banga ES,255000,,,107738,8118,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region IV-A,Batangas,Talisay,Batangas,Talisay,439,Caloocan ES,231000,,,107739,8119,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region IV-A,Batangas,Talisay,Batangas,Talisay,730,Jorge B. Vargas MES,303000,,,107741,8121,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region IV-A,Batangas,Lipa City,Lipa City,Lipa City West District,113,Tagbakin Elementary School,79000,,,109702,10047,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,Region IV-A,Batangas,Nasugbu,Batangas,Nasugbu East,1360,Bilaran NHS,1173000,,,301086,40246,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,Region IV-A,Batangas,Rosario,Batangas,Rosario East,260,Palakpak NHS,347000,,,301131,40291,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,Region IV-A,Batangas,Bauan,Batangas,Bauan,234,San Vicente Manalupang NHS,379000,,,301145,40305,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,Region IV-A,Batangas,Tuy,Batangas,Tuy,946,Jose Lopez Manzano Tuy National High School,858000,,,307710,40693,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,Region IV-A,Batangas,San Juan,Batangas,San Juan West,269,Sampiro National High School,348000,,,307712,40695,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Bakun,Benguet,Bakun,56,Cabutotan ES,85000,,,135410,37030,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Bokod,Benguet,Bokod,13,Pidile PS,56000,,,135451,37067,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Buguias,Benguet,Buguias,122,Sagandoy ES,108000,,,135495,37107,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Itogon,Benguet,Itogon I,138,MAXIMINO FIANZA LOPEZ ELEM. SCHOOL,107000,,,135500,37111,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Itogon,Benguet,Itogon II,172,Goldfield PS,111000,,,135523,37133,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Mankayan,Benguet,Mankayan,11,Ayosep PS,49000,,,135639,37242,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Mankayan,Benguet,Mankayan,15,Kema PS,56000,,,135640,37243,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Mankayan,Benguet,Mankayan,29,Cotcot PS,52000,,,135651,37253,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Mankayan,Benguet,Mankayan,24,Ulsino PS,56000,,,135657,37258,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Sablan,Benguet,Sablan,36,Taya MG School,74000,,,135683,37281,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Tublay,Benguet,Tublay,71,Mamuyod ES,84000,,,135729,37324,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Buguias,Benguet,Buguias,110,Deccan PS,86000,,,219503,38033,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Bokod,Benguet,Bokod,24,Adonot PS,61000,,,219506,38034,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Bokod,Benguet,Bokod,28,Bunagan Primary School,62000,,,219507,38035,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Mankayan,Benguet,Mankayan,30,Cada PS,59000,,,219511,38039,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Mankayan,Benguet,Mankayan,21,Lap-angan PS,51000,,,219512,38040,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Bakun,Benguet,Bakun,10,Guing-oy Elementary School,59000,,,219513,38041,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Bokod,Benguet,Bokod,56,Karao Tribe ES,55000,,,219514,38042,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Itogon,Benguet,Itogon II,26,Daynet ES,72000,,,219516,38044,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Bokod,Benguet,Bokod,8,Bakian Guiniawan PS,58000,,,219519,38047,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Bokod,Benguet,Bokod,11,Bawempeta PS,50000,,,219520,38048,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Mankayan,Benguet,Mankayan,37,Sayapot PS,54000,,,219521,38049,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Bakun,Benguet,Bakun,34,Batanes Primary School,47000,,,219528,38056,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Bakun,Benguet,Bakun,25,Cadsi-Amoy ES - Poway Annex,51000,,,219529,38057,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Bakun,Benguet,Bakun,31,Yugo Bantales Primary School,50000,,,219530,38058,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Itogon,Benguet,Itogon II,57,Simpa Primary School,69000,,,219531,38059,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Kibungan,Benguet,Kibungan,26,Sapdaan Primary School,69000,,,219532,38060,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Buguias,Benguet,Buguias,19,Kayang Primary School,69000,,,219533,38061,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,CAR,Benguet,Bakun,Benguet,Bakun,10,Masalin Primary School,,,,219534,38062,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Benguet,Kapangan,Benguet,Kapangan,235,Gov. Bado Dangwa Agro-Industrial School Extension - Taba-ao Annex,242000,,,318908,46314,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Benguet,Bakun,Benguet,Bakun,144,Bakun NHS-Sinacbat Extension,173000,,,318911,46317,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Benguet,Bakun,Benguet,Bakun,186,Ampusongan NHS - Kayapa Ext.,206000,,,318913,46319,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Benguet,Sablan,Benguet,Sablan,67,SABLAN NATIONAL HIGH SCHOOL-BALLUAY EXTENSION,144000,,,318915,46321,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Benguet,La Trinidad (Capital),Benguet,La Trinidad,123,BENGUET NATIONAL HIGH SCHOOL - PUGUIS ANNEX,144000,,,318916,46322,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Benguet,Mankayan,Benguet,Mankayan,92,BALILI NHS-CABACAB ANNEX,144000,,,318917,46323,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,CAR,Benguet,Kabayan,Benguet,Kabayan,74,Adaoay NHS-Abucot Extension,,,,318918,46324,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VIII,Biliran,Biliran,Biliran,Biliran,227,FELIMON NIERRAS MEMORIAL ELEMENTARY SCHOOL,149000,,,120779,21660,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VIII,Biliran,Kawayan,Biliran,Kawayan,140,Bulalacao ES,125000,,,120830,21711,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VIII,Biliran,Kawayan,Biliran,Kawayan,234,Inasuyan ES,157000,,,120832,21713,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VIII,Biliran,Kawayan,Biliran,Kawayan,152,Masagaosao PS,121000,,,120838,21719,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VIII,Biliran,Maripipi,Biliran,Maripipi,107,Agutay ES,106000,,,120846,21727,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VIII,Biliran,Maripipi,Biliran,Maripipi,174,Binalayan ES,138000,,,120848,21729,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VIII,Biliran,Maripipi,Biliran,Maripipi,70,Calbani ES,89000,,,120849,21730,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VIII,Biliran,Maripipi,Biliran,Maripipi,66,Casibang ES,82000,,,120851,21732,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VIII,Biliran,Maripipi,Biliran,Maripipi,130,OL-OG ES,118000,,,120854,21735,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VIII,Biliran,Maripipi,Biliran,Maripipi,159,Viga ES,138000,,,120855,21736,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VIII,Biliran,Naval (Capital),Biliran,Naval North,401,Atipolo ES,195000,,,120857,21738,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,SS,Region VIII,Biliran,Maripipi,Biliran,Maripipi,398,Maripipi NVS,641000,,,303329,43370,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VII,Bohol,Bien Unido,Bohol,Bien Unido,398,Bilangbilangan Daku ES,195000,,,118028,18801,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VII,Bohol,Buenavista,Bohol,Buenavista,453,Buenavista CES,266000,,,118065,18838,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VII,Bohol,Dimiao,Bohol,Dimiao,467,Dimiao Central ES,277000,,,118275,19047,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VII,Bohol,Duero,Bohol,Duero,528,Duero Central ES,278000,,,118291,19063,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VII,Bohol,Loon,Bohol,Loon South,149,Lintuan ES,108000,,,118499,19269,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VII,Bohol,Loon,Bohol,Loon South,488,Loon South Central ES,345000,,,118500,19270,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VII,Bohol,Loon,Bohol,Loon South,210,Napo ES,137000,,,118502,19272,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VII,Bohol,Loon,Bohol,Loon South,36,Ticugan ES,69000,,,118506,19276,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VII,Bohol,Mabini,Bohol,Mabini,150,Marcelo ES,121000,,,118522,19292,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VII,Bohol,Panglao,Bohol,Panglao,549,Doljo ES,265000,,,118557,19326,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VII,Bohol,Pres. Carlos P. Garcia (Pitogo),Bohol,Pres. C. P. Garcia,146,Bayog ES,107000,,,118591,19360,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VII,Bohol,Pres. Carlos P. Garcia (Pitogo),Bohol,Pres. C. P. Garcia,124,Butan ES,104000,,,118592,19361,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VII,Bohol,San Miguel,Bohol,San Miguel,366,Bayongan Elementary School,195000,,,118642,19411,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VII,Bohol,Talibon,Bohol,Talibon II,895,Calituban ES,362000,,,118735,19503,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VII,Bohol,Tubigon,Bohol,Tubigon,166,Batasan ES,122000,,,118773,19541,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
,ES,Region VII,Bohol,Tubigon,Bohol,Tubigon,17,Ubay PS,55000,,,118798,19566,2015-04-16 08:49:16.084155+00,2015-04-16 08:49:16.084155+00
