the_geom,offering,region,province,municipality,division,district,enrollment_sy_2014_2015,school_name,mooe_in_php_for_fy_2015,latitude,longitude,school_id,cartodb_id,created_at,updated_at,address
NA,ES,ARMM,Lanao Del Sur,Ganassi,Lanao del Sur - IIB,Central Ganassi,169,Para-Aba ES,NA,NA,NA,133661,35043,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Para-Aba Elementary School, Ganassi, Lanao Del Sur"
NA,ES,ARMM,Lanao Del Sur,Ganassi,Lanao del Sur - IIB,West Ganassi,268,Pindolunan Central Elementary School,NA,NA,NA,133662,35044,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Pindolunan Central Elementary School, Ganassi, Lanao Del Sur"
NA,ES,ARMM,Lanao Del Sur,Ganassi,Lanao del Sur - IIB,East Ganassi,548,Sultan Aguam CES,NA,NA,NA,133663,35045,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Sultan Aguam CElementary School, Ganassi, Lanao Del Sur"
NA,ES,ARMM,Lanao Del Sur,Ganassi,Lanao del Sur - IIB,East Ganassi,253,Tabuan PS,NA,NA,NA,133664,35046,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Tabuan Primary School, Ganassi, Lanao Del Sur"
NA,ES,ARMM,Lanao Del Sur,Ganassi,Lanao del Sur - IIB,East Ganassi,60,Taliogon Elementary School,NA,NA,NA,133665,35047,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Taliogon Elementary School, Ganassi, Lanao Del Sur"
NA,ES,ARMM,Lanao Del Sur,Lumbatan,Lanao del Sur - IIA,Lumbatan I,168,Buad PS,NA,NA,NA,133666,35048,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Buad Primary School, Lumbatan, Lanao Del Sur"
NA,ES,ARMM,Lanao Del Sur,Lumbatan,Lanao del Sur - IIA,Lumbatan II,255,Lalapung Elementary School,NA,NA,NA,133668,35049,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Lalapung Elementary School, Lumbatan, Lanao Del Sur"
NA,ES,ARMM,Lanao Del Sur,Lumbatan,Lanao del Sur - IIA,Lumbatan I,74,Ligue PS,NA,NA,NA,133669,35050,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Ligue Primary School, Lumbatan, Lanao Del Sur"
NA,ES,ARMM,Lanao Del Sur,Lumbatan,Lanao del Sur - IIA,Lumbatan II,206,Lumbac Macadar ES,NA,NA,NA,133670,35051,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Lumbac Macadar Elementary School, Lumbatan, Lanao Del Sur"
NA,ES,ARMM,Lanao Del Sur,Lumbatan,Lanao del Sur - IIA,Lumbatan I,285,Lumbatan CES,NA,NA,NA,133671,35052,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Lumbatan CElementary School, Lumbatan, Lanao Del Sur"
