the_geom,offering,region,province,municipality,division,district,enrollment_sy_2014_2015,school_name,mooe_in_php_for_fy_2015,latitude,longitude,school_id,cartodb_id,created_at,updated_at,address
NA,ES,Region II,Nueva Vizcaya,Santa Fe,Nueva Vizcaya,Sta. Fe,52,Lawed PS,69000,NA,NA,104203,4270,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Lawed Primary School, Santa Fe, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Alfonso Casta̱eda,Nueva Vizcaya,Alfonso Casta̱eda,102,Lipuga ES,94000,NA,NA,104204,4271,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Lipuga Elementary School, Alfonso Casta̱eda, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Alfonso Casta̱eda,Nueva Vizcaya,Alfonso Casta̱eda,54,Mandunot ES,72000,NA,NA,104205,4272,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Mandunot Elementary School, Alfonso Casta̱eda, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Alfonso Casta̱eda,Nueva Vizcaya,Alfonso Casta̱eda,70,Marikit East ES,83000,NA,NA,104206,4273,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Marikit East Elementary School, Alfonso Casta̱eda, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Alfonso Casta̱eda,Nueva Vizcaya,Alfonso Casta̱eda,268,Pelaway ES,150000,NA,NA,104207,4274,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Pelaway Elementary School, Alfonso Casta̱eda, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Santa Fe,Nueva Vizcaya,Sta. Fe,152,Sinapaoan ES,115000,NA,NA,104208,4275,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Sinapaoan Elementary School, Santa Fe, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Santa Fe,Nueva Vizcaya,Sta. Fe,491,Sta. Fe CS,301000,NA,NA,104209,4276,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Sta. Fe CS, Santa Fe, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Santa Fe,Nueva Vizcaya,Sta. Fe,12,Sta. Rosa ES,NA,NA,NA,104210,4277,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Sta. Rosa Elementary School, Santa Fe, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Santa Fe,Nueva Vizcaya,Sta. Fe,180,Tactac ES,135000,NA,NA,104211,4278,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Tactac Elementary School, Santa Fe, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Santa Fe,Nueva Vizcaya,Sta. Fe,21,Unib PS,59000,NA,NA,104212,4279,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Unib Primary School, Santa Fe, Nueva Vizcaya"
NA,ES,Region II,Nueva Vizcaya,Villaverde,Nueva Vizcaya,Villaverde,240,Buenavista ES,150000,NA,NA,104215,4282,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Buenavista Elementary School, Villaverde, Nueva Vizcaya"
