the_geom,offering,region,province,municipality,division,district,enrollment_sy_2014_2015,school_name,mooe_in_php_for_fy_2015,latitude,longitude,school_id,cartodb_id,created_at,updated_at,address
NA,SS,ARMM,Tawi-Tawi,Simunul,Tawi-Tawi,Panglima Sugala (Balimbingan),328,Hadji Omarsani Tambut NHS,NA,NA,NA,318504,46029,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Hadji Omarsani Tambut National High School, Simunul, Tawi-Tawi"
NA,SS,ARMM,Tawi-Tawi,Bongao,Tawi-Tawi,Panglima Sugala (Balimbingan),218,Boloboc Science and Technology High School,NA,NA,NA,318505,46030,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Boloboc Science and Technology High School, Bongao, Tawi-Tawi"
NA,ES,Region VIII,Western Samar,Almagro,Samar (Western Samar),Almagro,442,Almagro CS,221000,NA,NA,123285,24145,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Almagro CS, Almagro, Western Samar"
NA,ES,Region VIII,Western Samar,Almagro,Samar (Western Samar),Almagro,135,Biasong ES,141000,NA,NA,123287,24147,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Biasong Elementary School, Almagro, Western Samar"
NA,ES,Region VIII,Western Samar,Almagro,Samar (Western Samar),Almagro,165,Costa Rica ES,147000,NA,NA,123288,24148,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Costa Rica Elementary School, Almagro, Western Samar"
NA,ES,Region VIII,Western Samar,Almagro,Samar (Western Samar),Almagro,211,Guin-Ansan ES,144000,NA,NA,123289,24149,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Guin-Ansan Elementary School, Almagro, Western Samar"
NA,ES,Region VIII,Western Samar,Almagro,Samar (Western Samar),Almagro,94,Imelda ES,102000,NA,NA,123290,24150,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Imelda Elementary School, Almagro, Western Samar"
NA,ES,Region VIII,Western Samar,Almagro,Samar (Western Samar),Almagro,107,Lunang I ES,130000,NA,NA,123292,24152,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Lunang I Elementary School, Almagro, Western Samar"
NA,ES,Region VIII,Western Samar,Almagro,Samar (Western Samar),Almagro,113,Lunang II ES,98000,NA,NA,123293,24153,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Lunang II Elementary School, Almagro, Western Samar"
NA,ES,Region VIII,Western Samar,Almagro,Samar (Western Samar),Almagro,39,Magsaysay PS,65000,NA,NA,123294,24154,2015-04-16T08:49:16.084Z,2015-04-16T08:49:16.084Z,"Magsaysay Primary School, Almagro, Western Samar"
